"Cmpd","rt","inferred.mass","inferred.formula","C","H","N","O","P","S","C:N:P","H/C","O/C","N/C","CHO_index","NOSC","DBE","DBE-O","Annotation","Kingdon","Superclass","class","subclass","parent","pubchem.url"
"C11",277.614363636364,246.1247,"C10H18N2O5",10,18,2,5,0,0,"10:2:0",1.8,0.5,0.2,-0.8,-0.2,3,-2,"2,4-diacetamido-2,4,6-trideoxy-beta-L-altrose","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexoses","https://pubchem.ncbi.nlm.nih.gov/compound/56927717"
"C12",314.277181818182,189.9582,"C5H4O4P2",5,4,0,4,2,0,"5:0:2",0.8,0.8,0,0.8,-1.2,4,0,"C5H4O4P2",NA,NA,NA,NA,NA,NA
"C13",295.410727272727,216.1505,"C10H20N2O3",10,20,2,3,0,0,"10:2:0",2,0.3,0.2,-1.4,-0.8,2,-1,"Valyl-Valine",NA,NA,NA,NA,NA,NA
"C14",46.3099,161.8488,"0",0,0,0,0,0,0,"0:0:0",NA,NA,NA,NA,NA,1,1,"M = 161.8488",NA,NA,NA,NA,NA,NA
"C15",213.8118,296.1251,"C11H16N6O4",11,16,6,4,0,0,"11:6:0",1.45454545454545,0.363636363636364,0.545454545454545,-0.727272727272727,0.909090909090909,7,3,"2-Methylaminoadenosine_1","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","https://pubchem.ncbi.nlm.nih.gov/compound/439946"
"C16",220.5074,382.1266,"C15H28O7P2",15,28,0,7,2,0,"15:0:2",1.86666666666667,0.466666666666667,0,-0.933333333333333,-1.6,2,-5,"Farnesyl pyrophosphate_1","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids","https://pubchem.ncbi.nlm.nih.gov/compound/445713"
"C17",218.4198,324.1202,"C12H16N6O5",12,16,6,5,0,0,"12:6:0",1.33333333333333,0.416666666666667,0.5,-0.5,1,8,3,"archaeosine_1","Organic compounds","Nucleosides, nucleotides, and analogues","Pyrrolopyrimidine nucleosides and nucleotides",NA,"Pyrrolopyrimidine nucleosides and nucleotides","https://pubchem.ncbi.nlm.nih.gov/compound/132841"
"C18",192.521,356.1099,"C16H16N6O2S",16,16,6,2,0,1,"16:6:0",1,0.125,0.375,-0.75,0.5,12,10,"1-(4-morpholinyl)-2-[[3-(3-pyridinyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]thio]ethanone_1","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Pyridyltriazoles","Pyridyl-1,2,4-triazoles","https://pubchem.ncbi.nlm.nih.gov/compound/5310565"
"C19",272.471,190.1353,"C10H22OS",10,22,0,1,0,1,"10:0:0",2.2,0.1,0,-2,-1.8,0,-1,"2-(Octylthio)ethanol_1","Organic compounds","Organosulfur compounds","Thioethers","Dialkylthioethers","Dialkylthioethers","https://pubchem.ncbi.nlm.nih.gov/compound/19079"
"C20",260.7966,164.1204,"C11H16O",11,16,0,1,0,0,"11:0:0",1.45454545454545,0.0909090909090909,0,-1.27272727272727,-1.27272727272727,4,3,"trans-Jasmone_1","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Cyclic ketones","https://pubchem.ncbi.nlm.nih.gov/compound/1549019"
"C21",28.8521111111111,198.8145,"0",0,0,0,0,0,0,"0:0:0",NA,NA,NA,NA,NA,1,1,"M = 198.8145_1",NA,NA,NA,NA,NA,NA
"C22",57.5258888888889,210.8311,"0",0,0,0,0,0,0,"0:0:0",NA,NA,NA,NA,NA,1,1,"M = 210.8311",NA,NA,NA,NA,NA,NA
"C23",244.286,270.1092,"C12H18N2O3S",12,18,2,3,0,1,"12:2:0",1.5,0.25,0.166666666666667,-1,-0.333333333333333,5,2,"Tolbutamide_1","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","Benzenesulfonamides","https://pubchem.ncbi.nlm.nih.gov/compound/5505"
"C24",200.440444444444,370.1235,"C17H18N6O2S",17,18,6,2,0,1,"17:6:0",1.05882352941176,0.117647058823529,0.352941176470588,-0.823529411764706,0.352941176470588,12,10,"N-(2-oxolanylmethyl)-2-[[3-(3-pyridinyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]thio]acetamide_1",NA,NA,NA,NA,NA,NA
"C25",202.310777777778,270.1088,"C12H18N2O3S",12,18,2,3,0,1,"12:2:0",1.5,0.25,0.166666666666667,-1,-0.333333333333333,5,2,"Tolbutamide_2","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","Benzenesulfonamides","https://pubchem.ncbi.nlm.nih.gov/compound/5505"
"C26",202.825666666667,336.1428,"C15H20N4O5",15,20,4,5,0,0,"15:4:0",1.33333333333333,0.333333333333333,0.266666666666667,-0.666666666666667,0.133333333333333,8,3,"LSM-36722","Organic compounds","Benzenoids","Benzene and substituted derivatives","Nitrobenzenes","Nitrobenzenes",NA
"C27",273.520444444444,426.1517,"C15H26N2O12",15,26,2,12,0,0,"15:2:0",1.73333333333333,0.8,0.133333333333333,-0.133333333333333,0.266666666666667,4,-8,"Chitobiose_1",NA,NA,NA,NA,NA,NA
"C28",315.355555555556,140.0466,"C7H8O3",7,8,0,3,0,0,"7:0:0",1.14285714285714,0.428571428571429,0,-0.285714285714286,-0.285714285714286,4,1,"(2E)-2-ethylidene-4-hydroxy-5-methyl-3(2H)-furanone_1","Organic compounds","Organoheterocyclic compounds","Dihydrofurans","Furanones","Furanones","https://pubchem.ncbi.nlm.nih.gov/compound/25243895"
"C29",293.688,274.1563,"C11H22N4O4",11,22,4,4,0,0,"11:4:0",2,0.363636363636364,0.363636363636364,-1.27272727272727,-0.181818181818182,3,-1,"Lysyl-Glutamine_1",NA,NA,NA,NA,NA,NA
"C30",582.778444444444,356.2227,"C19H32O6",19,32,0,6,0,0,"19:0:0",1.68421052631579,0.315789473684211,0,-1.05263157894737,-1.05263157894737,4,-2,"methyl 12,15-epdioxy-16-hydroperoxy-9,13-octadecadienoate",NA,NA,NA,NA,NA,NA
"C31",1012.88,175.9627,"C3HN2O5P",3,1,2,5,1,0,"3:2:1",0.333333333333333,1.66666666666667,0.666666666666667,3,3.33333333333333,4.5,-0.5,"C3HN2O5P_1",NA,NA,NA,NA,NA,NA
"C32",24.9145,159.0192,"C5H5NO5",5,5,1,5,0,0,"5:1:0",1,1,0.2,1,1.6,4,-1,"(2E,4E)-1-hydroxy-1-keto-5-nitro-penta-2,4-dien-2-olate",NA,NA,NA,NA,NA,"https://pubchem.ncbi.nlm.nih.gov/compound/25244421"
"C33",23.688625,234.9381,"C3H2N5O2PS2",3,2,5,2,1,2,"3:5:1",0.666666666666667,0.666666666666667,1.66666666666667,0.666666666666667,5.33333333333333,5.5,3.5,"C3H2N5O2PS2",NA,NA,NA,NA,NA,NA
"C34",18.4835,722.8124,"C24H7NO14P2S4",24,7,1,14,2,4,"24:1:2",0.291666666666667,0.583333333333333,0.0416666666666667,0.875,0.916666666666667,22,8,"C24H7NO14P2S4",NA,NA,NA,NA,NA,NA
"C35",209.46275,316.1504,"C13H24N4O3S",13,24,4,3,0,1,"13:4:0",1.84615384615385,0.230769230769231,0.307692307692308,-1.38461538461538,-0.307692307692307,4,1,"Timolol_1","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Dialkylarylamines","https://pubchem.ncbi.nlm.nih.gov/compound/5478"
"C36",224.85875,282.1095,"C10H14N6O4",10,14,6,4,0,0,"10:6:0",1.4,0.4,0.6,-0.6,1.2,7,3,"2-Aminoadenosine_1","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","https://pubchem.ncbi.nlm.nih.gov/compound/72200"
"C37",237.554875,310.1413,"C11H22N2O8",11,22,2,8,0,0,"11:2:0",2,0.727272727272727,0.181818181818182,-0.545454545454545,0,2,-6,"mannopine_1","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids","https://pubchem.ncbi.nlm.nih.gov/compound/121864"
"C38",244.553875,248.104,"C10H12N6O2",10,12,6,2,0,0,"10:6:0",1.2,0.2,0.6,-0.8,1,8,6,"5-[(5-amino-1-tetrazolyl)iminomethyl]-2-ethoxyphenol_1","Organic compounds","Benzenoids","Phenol ethers",NA,"Phenol ethers","https://pubchem.ncbi.nlm.nih.gov/compound/937175"
"C39",201.836,386.1205,"C14H26O10S",14,26,0,10,0,1,"14:0:0",1.85714285714286,0.714285714285714,0,-0.428571428571429,-0.285714285714286,2,-8,"alpha-L-Rhap-(1->3)-beta-D-Glcp-O[CH2]2SH_1","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","O-glycosyl compounds","https://pubchem.ncbi.nlm.nih.gov/compound/121232677"
"C40",198.28375,272.0889,"C10H16N4O3S",10,16,4,3,0,1,"10:4:0",1.6,0.3,0.4,-1,0.4,5,2,"2-[(5-oxo-3-sulfanylidene-2H-1,2,4-triazin-6-yl)amino]propanoic acid butyl ester_1",NA,NA,NA,NA,NA,NA
"C41",190.831375,258.0737,"C10H14N2O4S",10,14,2,4,0,1,"10:2:0",1.4,0.4,0.2,-0.6,0.2,5,1,"Northienamycin;(5R-cis)-3-[(2-Aminoethyl)thio]-6-(hydroxymethyl)-7-oxo-1-Azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid",NA,NA,NA,NA,NA,NA
"C42",281.2285,112.0513,"C6H8O2",6,8,0,2,0,0,"6:0:0",1.33333333333333,0.333333333333333,0,-0.666666666666667,-0.666666666666667,3,1,"trans-1,2-Dihydrobenzene-1,2-diol","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","1,2-diols","https://pubchem.ncbi.nlm.nih.gov/compound/149186"
"C43",270.04175,356.1462,"C16H24N2O5S",16,24,2,5,0,1,"16:2:0",1.5,0.3125,0.125,-0.875,-0.375,6,1,"2-[(2S,5S,6S)-5-(benzenesulfonamido)-6-(hydroxymethyl)-2-oxanyl]-N,N-dimethylacetamide_1",NA,NA,NA,NA,NA,NA
"C44",271.8095,248.1405,"C15H20O3",15,20,0,3,0,0,"15:0:0",1.33333333333333,0.2,0,-0.933333333333333,-0.933333333333334,6,3,"Abscisic acid aldehyde_1",NA,NA,NA,NA,NA,NA
"C45",325.7845,266.1507,"C12H26O4S",12,26,0,4,0,1,"12:0:0",2.16666666666667,0.333333333333333,0,-1.5,-1.33333333333333,0,-4,"dodecyl hydrogen sulfate_1","Organic compounds","Organic acids and derivatives","Organic sulfuric acids and derivatives","Sulfuric acid esters","Sulfuric acid monoesters","https://pubchem.ncbi.nlm.nih.gov/compound/8778"
"C46",311.11375,262.1557,"C16H22O3",16,22,0,3,0,0,"16:0:0",1.375,0.1875,0,-1,-1,6,3,"8beta-Hydroxyparthenolide",NA,NA,NA,NA,NA,NA
"C47",302.488125,262.1558,"C16H22O3",16,22,0,3,0,0,"16:0:0",1.375,0.1875,0,-1,-1,6,3,"10beta-hydroxycichopumilide_1",NA,NA,NA,NA,NA,NA
"C48",18.857,176.9662,"C3H3N3O2S2",3,3,3,2,0,2,"3:3:0",1,0.666666666666667,1,0.333333333333333,4.66666666666667,4,2,"C3H3N3O2S2",NA,NA,NA,NA,NA,NA
"C49",18.5872857142857,160.9867,"C4H4NO4P",4,4,1,4,1,0,"4:1:1",1,1,0.25,1,0.5,3.5,-0.5,"C4H4NO4P",NA,NA,NA,NA,NA,NA
"C50",19.4471428571429,174.9326,"C3HN3S3",3,1,3,0,0,3,"3:3:0",0.333333333333333,0,1,-0.333333333333333,4.66666666666667,5,5,"C3HN3S3",NA,NA,NA,NA,NA,NA
"C51",53.4044285714286,198.8147,"0",0,0,0,0,0,0,"0:0:0",NA,NA,NA,NA,NA,1,1,"M = 198.8147",NA,NA,NA,NA,NA,NA
"C52",213.319714285714,252.1354,"C10H16N6O2",10,16,6,2,0,0,"10:6:0",1.6,0.2,0.6,-1.2,0.6,6,4,"[4-methoxy-6-(1-piperidinyl)-1H-1,3,5-triazin-2-ylidene]-nitrosomethanamine_1","Organic compounds","Organoheterocyclic compounds","Triazines","Aminotriazines","Aminotriazines","https://pubchem.ncbi.nlm.nih.gov/compound/6740108"
"C53",213.645428571429,326.1351,"C15H22N2O4S",15,22,2,4,0,1,"15:2:0",1.46666666666667,0.266666666666667,0.133333333333333,-0.933333333333333,-0.4,6,2,"Hydroxyhexamide_1",NA,NA,NA,NA,NA,NA
"C54",215.866714285714,258.1096,"C11H18N2O3S",11,18,2,3,0,1,"11:2:0",1.63636363636364,0.272727272727273,0.181818181818182,-1.09090909090909,-0.363636363636363,4,1,"6-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Hexanoic Acid",NA,NA,NA,NA,NA,NA
"C55",215.537857142857,354.1304,"C15H22N4O4S",15,22,4,4,0,1,"15:4:0",1.46666666666667,0.266666666666667,0.266666666666667,-0.933333333333333,0,7,3,"2-[[3-methyl-7-(3-methylbutyl)-2,6-dioxo-8-purinyl]thio]propanoic acid methyl ester_1",NA,NA,NA,NA,NA,NA
"C56",229.666142857143,370.1255,"C17H18N6O2S",17,18,6,2,0,1,"17:6:0",1.05882352941176,0.117647058823529,0.352941176470588,-0.823529411764706,0.352941176470588,12,10,"N-(2-oxolanylmethyl)-2-[[3-(3-pyridinyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]thio]acetamide_2",NA,NA,NA,NA,NA,NA
"C57",230.067714285714,302.1382,"C14H22O7",14,22,0,7,0,0,"14:0:0",1.57142857142857,0.5,0,-0.571428571428571,-0.571428571428571,4,-3,"Garcinia lactone dibutyl ester_1",NA,NA,NA,NA,NA,NA
"C58",231.422,368.146,"C15H16N10O2",15,16,10,2,0,0,"15:10:0",1.06666666666667,0.133333333333333,0.666666666666667,-0.8,1.2,13,11,"189089_1","Organic compounds","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Pterins and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/189089"
"C59",233.532428571429,330.1297,"C13H22N4O4S",13,22,4,4,0,1,"13:4:0",1.69230769230769,0.307692307692308,0.307692307692308,-1.07692307692308,0,5,1,"ranitidine N-oxide_1","Organic compounds","Organoheterocyclic compounds","Heteroaromatic compounds",NA,"Heteroaromatic compounds","https://pubchem.ncbi.nlm.nih.gov/compound/62985"
"C60",232.173285714286,180.113,"C11H16O2",11,16,0,2,0,0,"11:0:0",1.45454545454545,0.181818181818182,0,-1.09090909090909,-1.09090909090909,4,2,"Jasmolone_1",NA,NA,NA,NA,NA,NA
"C61",233.851,162.1038,"C11H14O",11,14,0,1,0,0,"11:0:0",1.27272727272727,0.0909090909090909,0,-1.09090909090909,-1.09090909090909,5,4,"4'-Isopropylacetophenone","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Alkyl-phenylketones","https://pubchem.ncbi.nlm.nih.gov/compound/12578"
"C62",244.423,268.1315,"C10H16N6O3",10,16,6,3,0,0,"10:6:0",1.6,0.3,0.6,-1,0.8,6,3,"2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One_1","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Hypoxanthines","https://pubchem.ncbi.nlm.nih.gov/compound/445732"
"C63",199.625142857143,258.11,"C11H18N2O3S",11,18,2,3,0,1,"11:2:0",1.63636363636364,0.272727272727273,0.181818181818182,-1.09090909090909,-0.363636363636363,4,1,"3-[(2-aminoethyl)sulfanyl]-6-ethyl-7-oxo-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",NA,NA,NA,NA,NA,NA
"C64",204.211428571429,310.1043,"C12H22O7S",12,22,0,7,0,1,"12:0:0",1.83333333333333,0.583333333333333,0,-0.666666666666667,-0.5,2,-5,"1,2-diisobutoxycarbonylethanesulfonic acid_1",NA,NA,NA,NA,NA,NA
"C65",194.959714285714,254.0797,"C11H14N2O3S",11,14,2,3,0,1,"11:2:0",1.27272727272727,0.272727272727273,0.181818181818182,-0.727272727272727,0,6,3,"S-(Phenylacetothiohydroximoyl)-L-cysteine_1","Organic compounds","Organic acids and derivatives","Thiohydroximic acids and derivatives","Thiohydroximic acids","S-alkyl-thiohydroximates","https://pubchem.ncbi.nlm.nih.gov/compound/25246414"
"C66",196.618428571429,300.1198,"C12H20N4O3S",12,20,4,3,0,1,"12:4:0",1.66666666666667,0.25,0.333333333333333,-1.16666666666667,0,5,2,"desmethylranitidine_1","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Aralkylamines","https://pubchem.ncbi.nlm.nih.gov/compound/163116"
"C67",189.029142857143,298.1046,"C12H18N4O3S",12,18,4,3,0,1,"12:4:0",1.5,0.25,0.333333333333333,-1,0.166666666666667,6,3,"1-(1-azepanyl)-2-[(5-methyl-4-nitro-1H-pyrazol-3-yl)thio]ethanone_1","Organic compounds","Organosulfur compounds","Thioethers","Aryl thioethers","Aryl thioethers","https://pubchem.ncbi.nlm.nih.gov/compound/4079917"
"C68",179.754428571429,286.1049,"C11H18N4O3S",11,18,4,3,0,1,"11:4:0",1.63636363636364,0.272727272727273,0.363636363636364,-1.09090909090909,0.181818181818182,5,2,"Histidinyl-Methionine_1",NA,NA,NA,NA,NA,NA
"C69",183.322285714286,226.0839,"C10H14N2O2S",10,14,2,2,0,1,"10:2:0",1.4,0.2,0.2,-1,-0.2,5,3,"(1/2,5,6)-2-(3-azibutylthio)-5,6-epoxy-3-cyclohexen-1-ol_1",NA,NA,NA,NA,NA,NA
"C70",274.866714285714,78.0467,"0",0,0,0,0,0,0,"0:0:0",NA,NA,NA,NA,NA,1,1,"M = 78.0467",NA,NA,NA,NA,NA,NA
"C71",266.068714285714,168.0776,"C5H8N6O",5,8,6,1,0,0,"5:6:0",1.6,0.2,1.2,-1.2,2.4,5,4,"MTIC_1","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acid derivatives","2-heteroaryl carboxamides","https://pubchem.ncbi.nlm.nih.gov/compound/76953"
"C72",264.918428571429,322.163,"C14H26O8",14,26,0,8,0,0,"14:0:0",1.85714285714286,0.571428571428571,0,-0.714285714285714,-0.714285714285714,2,-6,"Butyl (S)-3-hydroxybutyrate glucoside",NA,NA,NA,NA,NA,NA
"C73",268.221714285714,232.1455,"C10H20N2O4",10,20,2,4,0,0,"10:2:0",2,0.4,0.2,-1.2,-0.6,2,-2,"Leucyl-Threonine_1",NA,NA,NA,NA,NA,NA
"C74",254.526285714286,414.1505,"C16H22N4O9",16,22,4,9,0,0,"16:4:0",1.375,0.5625,0.25,-0.25,0.5,8,-1,"Antibiotic CA 31;Clavamycin A_1",NA,NA,NA,NA,NA,NA
"C75",313.600571428571,368.1851,"C18H28N2O4S",18,28,2,4,0,1,"18:2:0",1.55555555555556,0.222222222222222,0.111111111111111,-1.11111111111111,-0.666666666666667,6,2,"N-[[(2R,3S,4S)-4-(hydroxymethyl)-1-(1-oxopropyl)-3-phenyl-2-azetidinyl]methyl]-N-propan-2-ylmethanesulfonamide_1",NA,NA,NA,NA,NA,NA
"C76",305.994142857143,398.1547,"C18H26N2O6S",18,26,2,6,0,1,"18:2:0",1.44444444444444,0.333333333333333,0.111111111111111,-0.777777777777778,-0.333333333333333,7,1,"2-[(1S,3S,4aS,9aR)-1-(hydroxymethyl)-6-(methanesulfonamido)-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-3-yl]-N-propylacetamide_1",NA,NA,NA,NA,NA,NA
"C77",305.952571428571,114.0314,"C5H6O3",5,6,0,3,0,0,"5:0:0",1.2,0.6,0,0,0,3,0,"Norfuraneol_1","Organic compounds","Organoheterocyclic compounds","Dihydrofurans","Furanones","Furanones","https://pubchem.ncbi.nlm.nih.gov/compound/4564493"
"C78",304.338714285714,128.0461,"C6H8O3",6,8,0,3,0,0,"6:0:0",1.33333333333333,0.5,0,-0.333333333333333,-0.333333333333333,3,0,"3-Hydroxy-4,5-dimethyl-2(5H)-furanone_1",NA,NA,NA,NA,NA,NA
"C79",297.140857142857,276.1356,"C11H20N2O6",11,20,2,6,0,0,"11:2:0",1.81818181818182,0.545454545454545,0.181818181818182,-0.727272727272727,-0.181818181818182,3,-3,"Saccharopine_1","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/160556"
"C80",298.123428571429,196.1116,"C11H16O3",11,16,0,3,0,0,"11:0:0",1.45454545454545,0.272727272727273,0,-0.909090909090909,-0.909090909090909,4,1,"Kobifuranone A",NA,NA,NA,NA,NA,NA
"C81",293.397428571429,398.1557,"C18H26N2O6S",18,26,2,6,0,1,"18:2:0",1.44444444444444,0.333333333333333,0.111111111111111,-0.777777777777778,-0.333333333333333,7,1,"2-[(1S,3S,4aS,9aR)-1-(hydroxymethyl)-6-(methanesulfonamido)-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-3-yl]-N-propylacetamide_2",NA,NA,NA,NA,NA,NA
"C82",580.566571428571,652.3834,"C35H56O11",35,56,0,11,0,0,"35:0:0",1.6,0.314285714285714,0,-0.971428571428571,-0.971428571428572,8,-3,"C35H56O11",NA,NA,NA,NA,NA,NA
"C83",955.9625,113.9919,"C3H2N2OS",3,2,2,1,0,1,"3:2:0",0.666666666666667,0.333333333333333,0.666666666666667,0,2.66666666666667,4,3,"C3H2N2OS_1",NA,NA,NA,NA,NA,NA
"C84",967.096833333333,135.9746,"C3H5O2PS",3,5,0,2,1,1,"3:0:1",1.66666666666667,0.666666666666667,0,-0.333333333333333,-1.33333333333333,1.5,-0.5,"C3H5O2PS",NA,NA,NA,NA,NA,NA
"C85",992.420666666667,271.9491,"C7H12OS5",7,12,0,1,0,5,"7:0:0",1.71428571428571,0.142857142857143,0,-1.42857142857143,0,2,1,"C7H12OS5",NA,NA,NA,NA,NA,NA
"C86",18.6256666666667,527.8762,"C8H6N2O19P2S",8,6,2,19,2,1,"8:2:2",0.75,2.375,0.25,4,3.75,7,-12,"C8H6N2O19P2S",NA,NA,NA,NA,NA,NA
"C87",19.2783333333333,549.8711,"C7H8N10O6P2S5",7,8,10,6,2,5,"7:10:2",1.14285714285714,0.857142857142857,1.42857142857143,0.571428571428571,4.85714285714286,9,3,"C7H8N10O6P2S5",NA,NA,NA,NA,NA,NA
"C88",208.831,284.1233,"C13H20N2O3S",13,20,2,3,0,1,"13:2:0",1.53846153846154,0.230769230769231,0.153846153846154,-1.07692307692308,-0.461538461538462,5,2,"etozolin_1",NA,NA,NA,NA,NA,NA
"C89",211.1735,224.1044,"C11H16N2OS",11,16,2,1,0,1,"11:2:0",1.45454545454545,0.0909090909090909,0.181818181818182,-1.27272727272727,-0.545454545454546,5,4,"2-(butylthio)-1,5,6,7-tetrahydrocyclopenta[d]pyrimidin-4-one_1","Organic compounds","Organosulfur compounds","Thioethers","Aryl thioethers","Aryl thioethers","https://pubchem.ncbi.nlm.nih.gov/compound/1562008"
"C90",207.638666666667,228.0993,"C10H16N2O2S",10,16,2,2,0,1,"10:2:0",1.6,0.2,0.2,-1.2,-0.4,4,2,"5-(HEXAHYDRO-2-OXO-1H-THIENO[3,4-D]IMIDAZOL-6-YL)PENTANAL",NA,NA,NA,NA,NA,NA
"C91",211.675333333333,400.1366,"C18H20N6O3S",18,20,6,3,0,1,"18:6:0",1.11111111111111,0.166666666666667,0.333333333333333,-0.777777777777778,0.333333333333333,12,9,"2-[[3-(4-methoxyphenyl)-7-triazolo[4,5-d]pyrimidinyl]thio]-N-(2-oxolanylmethyl)acetamide_1",NA,NA,NA,NA,NA,NA
"C92",227.9795,396.14,"C19H20N6O2S",19,20,6,2,0,1,"19:6:0",1.05263157894737,0.105263157894737,0.315789473684211,-0.842105263157895,0.210526315789474,13,11,"N-(4-acetamidophenyl)-2-[[1-(4-ethylphenyl)-5-tetrazolyl]thio]acetamide_2","Organic compounds","Organoheterocyclic compounds","Azoles","Tetrazoles","Phenyltetrazoles and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/1078044"
"C93",223.247666666667,372.1402,"C17H24O9",17,24,0,9,0,0,"17:0:0",1.41176470588235,0.529411764705882,0,-0.352941176470588,-0.352941176470588,6,-3,"Syringin_1",NA,NA,NA,NA,NA,NA
"C94",222.609166666667,352.152,"C14H20N6O5",14,20,6,5,0,0,"14:6:0",1.42857142857143,0.357142857142857,0.428571428571429,-0.714285714285714,0.571428571428572,8,3,"9-[6(RS)-C-carboxamido-5,6,7-trideoxy-beta-D-ribo-octofuranosyl]-9H-purin-6-amine_1",NA,NA,NA,NA,NA,NA
