"cmpd","rt","annotation","ann.confidence","median.signal","inferred.M","inferred.formula","inchikey","inchi","pubchem.url","synonyms","inchikey.1","kingdom","superclass","class","subclass","parent","description"
"C17",218.4198,"archaeosine_1","2",3851.08850507067,324.1202,"C12H16N6O5","PEMQXWCOMFJRLS-RPKMEZRRSA-N","InChI=1S/C12H16N6O5/c13-8(14)3-1-18(9-5(3)10(22)17-12(15)16-9)11-7(21)6(20)4(2-19)23-11/h1,4,6-7,11,19-21H,2H2,(H3,13,14)(H3,15,16,17,22)/t4-,6-,7-,11-/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/132841","NA","PEMQXWCOMFJRLS-RPKMEZRRSA-N","Organic compounds","Nucleosides, nucleotides, and analogues","Pyrrolopyrimidine nucleosides and nucleotides",NA,"Pyrrolopyrimidine nucleosides and nucleotides","This compound belongs to the class of organic compounds known as pyrrolopyrimidine nucleosides and nucleotides. These are nucleoside derivatives containing a ribose derivative which is n-glycosylated to a pyrrolopyrimidine. Also called deazapurine nucleosides, they are analogs of purine nucleosides with the N atom of the purine being replaced by a C atom at position 7."
"C18",192.521,"1-(4-morpholinyl)-2-[[3-(3-pyridinyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]thio]ethanone_1","2",1789.65252379583,356.1099,"C16H16N6O2S","GWCQIHVMZSGCGM-UHFFFAOYSA-N","InChI=1S/C16H16N6O2S/c23-15(21-6-8-24-9-7-21)11-25-14-4-3-13-18-19-16(22(13)20-14)12-2-1-5-17-10-12/h1-5,10H,6-9,11H2","https://pubchem.ncbi.nlm.nih.gov/compound/5310565","NA","GWCQIHVMZSGCGM-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Pyridyltriazoles","Pyridyl-1,2,4-triazoles","This compound belongs to the class of organic compounds known as pyridyl-1,2,4-triazoles. These are organic compounds containing a pyridine ring attached to a 1,2,4-triazole ring."
"C19",272.471,"2-(Octylthio)ethanol_1","2",77.11220413053,190.1353,"C10H22OS","KXPXKNBDCUOENF-UHFFFAOYSA-N","InChI=1S/C10H22OS/c1-2-3-4-5-6-7-9-12-10-8-11/h11H,2-10H2,1H3","https://pubchem.ncbi.nlm.nih.gov/compound/19079","NA","KXPXKNBDCUOENF-UHFFFAOYSA-N","Organic compounds","Organosulfur compounds","Thioethers","Dialkylthioethers","Dialkylthioethers","This compound belongs to the class of organic compounds known as dialkylthioethers. These are organosulfur compounds containing a thioether group that is substituted by two alkyl groups."
"C20",260.7966,"trans-Jasmone_1","2",210.867401625998,164.1204,"C11H16O","XMLSXPIVAXONDL-SNAWJCMRSA-N","InChI=1S/C11H16O/c1-3-4-5-6-10-9(2)7-8-11(10)12/h4-5H,3,6-8H2,1-2H3/b5-4+","https://pubchem.ncbi.nlm.nih.gov/compound/1549019","NA","XMLSXPIVAXONDL-SNAWJCMRSA-N","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Cyclic ketones","This compound belongs to the class of organic compounds known as cyclic ketones. These are organic compounds containing a ketone that is conjugated to a cyclic moiety."
"C21",28.8521111111111,"M = 198.8145_1","",13.7689548151294,198.8145,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C22",57.5258888888889,"M = 210.8311","",714.26743750793,210.8311,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C23",244.286,"Tolbutamide_1","2",2382.91590317632,270.1092,"C12H18N2O3S","JLRGJRBPOGGCBT-UHFFFAOYSA-N","InChI=1S/C12H18N2O3S/c1-3-4-9-13-12(15)14-18(16,17)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3,(H2,13,14,15)","https://pubchem.ncbi.nlm.nih.gov/compound/5505","NA","JLRGJRBPOGGCBT-UHFFFAOYSA-N","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","Benzenesulfonamides","This compound belongs to the class of organic compounds known as benzenesulfonamides. These are organic compounds containing a sulfonamide group that is S-linked to a benzene ring."
"C24",200.440444444444,"N-(2-oxolanylmethyl)-2-[[3-(3-pyridinyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]thio]acetamide_1","2",2636.13135675078,370.1235,"C17H18N6O2S","JSQCYWGKEFQZMS-UHFFFAOYNA-N",NA,NA,"NA","JSQCYWGKEFQZMS-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C25",202.310777777778,"Tolbutamide_2","2",3072.35509108768,270.1088,"C12H18N2O3S","JLRGJRBPOGGCBT-UHFFFAOYSA-N","InChI=1S/C12H18N2O3S/c1-3-4-9-13-12(15)14-18(16,17)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3,(H2,13,14,15)","https://pubchem.ncbi.nlm.nih.gov/compound/5505","NA","JLRGJRBPOGGCBT-UHFFFAOYSA-N","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","Benzenesulfonamides","This compound belongs to the class of organic compounds known as benzenesulfonamides. These are organic compounds containing a sulfonamide group that is S-linked to a benzene ring."
"C26",202.825666666667,"LSM-36722","2",2093.96773363293,336.1428,"C15H20N4O5","RBXIZMHEEDPHPZ-UHFFFAOYSA-N",NA,NA,"NA","RBXIZMHEEDPHPZ-UHFFFAOYSA-N","Organic compounds","Benzenoids","Benzene and substituted derivatives","Nitrobenzenes","Nitrobenzenes","This compound belongs to the class of organic compounds known as nitrobenzenes. These are compounds containing a nitrobenzene moiety, which consists of a benzene ring with a carbon bearing a nitro group."
"C27",273.520444444444,"Chitobiose_1","2",4517.71727971362,426.1517,"C15H26N2O12","HSRZMOSQMYFZBL-ZCPMBPKRNA-N",NA,NA,"NA","HSRZMOSQMYFZBL-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C28",315.355555555556,"(2E)-2-ethylidene-4-hydroxy-5-methyl-3(2H)-furanone_1","2",582.314163397516,140.0466,"C7H8O3","CWXWDRXNERDGHE-HWKANZROSA-N","InChI=1S/C7H8O3/c1-3-5-7(9)6(8)4(2)10-5/h3,8H,1-2H3/b5-3+","https://pubchem.ncbi.nlm.nih.gov/compound/25243895","NA","CWXWDRXNERDGHE-HWKANZROSA-N","Organic compounds","Organoheterocyclic compounds","Dihydrofurans","Furanones","Furanones","This compound belongs to the class of organic compounds known as furanones. These are compounds containing a furan ring bearing a ketone group."
"C29",293.688,"Lysyl-Glutamine_1","2",814.153345020868,274.1563,"C11H22N4O4","OAPNERBWQWUPTI-UHFFFAOYNA-N",NA,NA,"NA","OAPNERBWQWUPTI-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C30",582.778444444444,"methyl 12,15-epdioxy-16-hydroperoxy-9,13-octadecadienoate","2",3094.38711680914,356.2227,"C19H32O6","NEFBFYIAKJRRAE-CSKARUKUNA-N",NA,NA,"NA","NEFBFYIAKJRRAE-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C31",1012.88,"C3HN2O5P_1","3",23386.639466385,175.9627,"C3HN2O5P",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C32",24.9145,"(2E,4E)-1-hydroxy-1-keto-5-nitro-penta-2,4-dien-2-olate","2",2634.09504571387,159.0192,"C5H5NO5","AWIWLUIOYDCPBC-ZPUQHVIOSA-M","InChI=1S/C5H5NO5/c7-4(5(8)9)2-1-3-6(10)11/h1-3,7H,(H,8,9)/p-1/b3-1+,4-2+","https://pubchem.ncbi.nlm.nih.gov/compound/25244421","NA","AWIWLUIOYDCPBC-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C33",23.688625,"C3H2N5O2PS2","3",1050.19595691139,234.9381,"C3H2N5O2PS2",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C34",18.4835,"C24H7NO14P2S4","3",403.764345763115,722.8124,"C24H7NO14P2S4",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C35",209.46275,"Timolol_1","2",2840.62096940224,316.1504,"C13H24N4O3S","BLJRIMJGRPQVNF-UHFFFAOYSA-N","InChI=1S/C13H24N4O3S/c1-13(2,3)14-8-10(18)9-20-12-11(15-21-16-12)17-4-6-19-7-5-17/h10,14,18H,4-9H2,1-3H3","https://pubchem.ncbi.nlm.nih.gov/compound/5478","NA","BLJRIMJGRPQVNF-UHFFFAOYSA-N","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Dialkylarylamines","This compound belongs to the class of organic compounds known as dialkylarylamines. These are aliphatic aromatic amines in which the amino group is linked to two aliphatic chains and one aromatic group."
"C36",224.85875,"2-Aminoadenosine_1","2",5501.52973656345,282.1095,"C10H14N6O4","ZDTFMPXQUSBYRL-UUOKFMHZSA-N","InChI=1S/C10H14N6O4/c11-7-4-8(15-10(12)14-7)16(2-13-4)9-6(19)5(18)3(1-17)20-9/h2-3,5-6,9,17-19H,1H2,(H4,11,12,14,15)/t3-,5-,6-,9-/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/72200","NA","ZDTFMPXQUSBYRL-UUOKFMHZSA-N","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","This compound belongs to the class of organic compounds known as purine nucleosides. These are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety."
"C37",237.554875,"mannopine_1","2",3415.15910264678,310.1413,"C11H22N2O8","VPRLICVDSGMIKO-SZWOQXJISA-N","InChI=1S/C11H22N2O8/c12-8(17)2-1-5(11(20)21)13-3-6(15)9(18)10(19)7(16)4-14/h5-7,9-10,13-16,18-19H,1-4H2,(H2,12,17)(H,20,21)/t5-,6+,7+,9+,10+/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/121864","NA","VPRLICVDSGMIKO-SZWOQXJISA-N","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids","This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom."
"C38",244.553875,"5-[(5-amino-1-tetrazolyl)iminomethyl]-2-ethoxyphenol_1","2",590.509172204828,248.104,"C10H12N6O2","FBUPUTUNMNFNGW-UHFFFAOYSA-N","InChI=1S/C10H12N6O2/c1-2-18-9-4-3-7(5-8(9)17)6-12-16-10(11)13-14-15-16/h3-6,17H,2H2,1H3,(H2,11,13,15)","https://pubchem.ncbi.nlm.nih.gov/compound/937175","NA","FBUPUTUNMNFNGW-UHFFFAOYSA-N","Organic compounds","Benzenoids","Phenol ethers",NA,"Phenol ethers","This compound belongs to the class of organic compounds known as phenol ethers. These are aromatic compounds containing an ether group substituted with a benzene ring."
"C39",201.836,"alpha-L-Rhap-(1->3)-beta-D-Glcp-O[CH2]2SH_1","2",2616.61370993885,386.1205,"C14H26O10S","KGBOVXGBAHYSDK-FMIKEGKCSA-N","InChI=1S/C14H26O10S/c1-5-7(16)9(18)10(19)14(22-5)24-12-8(17)6(4-15)23-13(11(12)20)21-2-3-25/h5-20,25H,2-4H2,1H3/t5-,6+,7-,8+,9+,10+,11+,12-,13+,14-/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/121232677","NA","KGBOVXGBAHYSDK-FMIKEGKCSA-N","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","O-glycosyl compounds","This compound belongs to the class of organic compounds known as o-glycosyl compounds. These are glycoside in which a sugar group is bonded through one carbon to another group via a O-glycosidic bond."
"C40",198.28375,"2-[(5-oxo-3-sulfanylidene-2H-1,2,4-triazin-6-yl)amino]propanoic acid butyl ester_1","2",2943.68106978813,272.0889,"C10H16N4O3S","BCYKHYUBEZWCKP-UHFFFAOYNA-N",NA,NA,"NA","BCYKHYUBEZWCKP-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C41",190.831375,"Northienamycin;(5R-cis)-3-[(2-Aminoethyl)thio]-6-(hydroxymethyl)-7-oxo-1-Azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid","2",1317.79039081483,258.0737,"C10H14N2O4S","CORBMZCTOZNVHZ-IOMOGOHMNA-N",NA,NA,"NA","CORBMZCTOZNVHZ-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C42",281.2285,"trans-1,2-Dihydrobenzene-1,2-diol","2",373.509277226909,112.0513,"C6H8O2","YDRSQRPHLBEPTP-PHDIDXHHSA-N","InChI=1S/C6H8O2/c7-5-3-1-2-4-6(5)8/h1-8H/t5-,6-/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/149186","NA","YDRSQRPHLBEPTP-PHDIDXHHSA-N","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","1,2-diols","This compound belongs to the class of organic compounds known as 1,2-diols. These are polyols containing an alcohol group at two adjacent positions."
"C43",270.04175,"2-[(2S,5S,6S)-5-(benzenesulfonamido)-6-(hydroxymethyl)-2-oxanyl]-N,N-dimethylacetamide_1","2",3631.20979235223,356.1462,"C16H24N2O5S","XITZEOXYAYTYOD-FJBXCPOZNA-N",NA,NA,"NA","XITZEOXYAYTYOD-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C44",271.8095,"Abscisic acid aldehyde_1","2",341.261680860126,248.1405,"C15H20O3","RIKWDZWVHUIUAM-LWSWVGHMNA-N",NA,NA,"NA","RIKWDZWVHUIUAM-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C45",325.7845,"dodecyl hydrogen sulfate_1","2",1202.54693718376,266.1507,"C12H26O4S","MOTZDAYCYVMXPC-UHFFFAOYSA-N","InChI=1S/C12H26O4S/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15/h2-12H2,1H3,(H,13,14,15)","https://pubchem.ncbi.nlm.nih.gov/compound/8778","NA","MOTZDAYCYVMXPC-UHFFFAOYSA-N","Organic compounds","Organic acids and derivatives","Organic sulfuric acids and derivatives","Sulfuric acid esters","Sulfuric acid monoesters","This compound belongs to the class of organic compounds known as sulfuric acid monoesters. These are organic compounds containing the sulfuric acid monoester functional group, with the generic structure ROS(O)(=O)=O, (R=organyl group)."
"C46",311.11375,"8beta-Hydroxyparthenolide","2",685.93519219434,262.1557,"C16H22O3","DQCPFZHKSSIEHG-WRALHRJQNA-N",NA,NA,"NA","DQCPFZHKSSIEHG-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C47",302.488125,"10beta-hydroxycichopumilide_1","2",574.613766231025,262.1558,"C16H22O3","IIIQISVHDIHHNB-MZGVZZPPSA-N",NA,NA,"NA","IIIQISVHDIHHNB-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C48",18.857,"C3H3N3O2S2","3",1463.19564372515,176.9662,"C3H3N3O2S2",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C49",18.5872857142857,"C4H4NO4P","3",1114.00986901611,160.9867,"C4H4NO4P",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C50",19.4471428571429,"C3HN3S3","3",669.51383571531,174.9326,"C3HN3S3",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C51",53.4044285714286,"M = 198.8147","",6157.05639276398,198.8147,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA
"C52",213.319714285714,"[4-methoxy-6-(1-piperidinyl)-1H-1,3,5-triazin-2-ylidene]-nitrosomethanamine_1","2",3389.81540687377,252.1354,"C10H16N6O2","SOJJZPCMPKPGFJ-UHFFFAOYSA-N","InChI=1S/C10H16N6O2/c1-18-10-13-8(7(11)15-17)12-9(14-10)16-5-3-2-4-6-16/h2-6,11H2,1H3,(H,12,13,14)","https://pubchem.ncbi.nlm.nih.gov/compound/6740108","NA","SOJJZPCMPKPGFJ-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Triazines","Aminotriazines","Aminotriazines","This compound belongs to the class of organic compounds known as aminotriazines. These are organic compounds containing an amino group attached to a triazine ring."
"C53",213.645428571429,"Hydroxyhexamide_1","2",3255.34866646217,326.1351,"C15H22N2O4S","VQDAEOYLIBGCHE-UHFFFAOYNA-N",NA,NA,"NA","VQDAEOYLIBGCHE-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C54",215.866714285714,"6-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Hexanoic Acid","2",3176.86008092116,258.1096,"C11H18N2O3S","CUIOUBJXOZHWNJ-FUBFIMRANA-N",NA,NA,"NA","CUIOUBJXOZHWNJ-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C55",215.537857142857,"2-[[3-methyl-7-(3-methylbutyl)-2,6-dioxo-8-purinyl]thio]propanoic acid methyl ester_1","2",4305.72416184578,354.1304,"C15H22N4O4S","HQQCGZDMNBZXKF-UHFFFAOYNA-N",NA,NA,"NA","HQQCGZDMNBZXKF-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C56",229.666142857143,"N-(2-oxolanylmethyl)-2-[[3-(3-pyridinyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]thio]acetamide_2","2",3906.7710550215,370.1255,"C17H18N6O2S","JSQCYWGKEFQZMS-UHFFFAOYNA-N",NA,NA,"NA","JSQCYWGKEFQZMS-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C57",230.067714285714,"Garcinia lactone dibutyl ester_1","2",3735.70035655505,302.1382,"C14H22O7","TYDSJOYVIREIOH-UHFFFAOYNA-N",NA,NA,"NA","TYDSJOYVIREIOH-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C58",231.422,"189089_1","2",5282.89272880183,368.146,"C15H16N10O2","YQZKTYLJVUNTLT-UHFFFAOYSA-N","InChI=1S/C15H16N10O2/c1-4-7-5(2-18-10-8(20-7)12(26)23-14(16)21-10)6-3-19-11-9(25(4)6)13(27)24-15(17)22-11/h5-6H,2-3H2,1H3,(H3,16,18,21,23,26)(H4,17,19,22,24,27)","https://pubchem.ncbi.nlm.nih.gov/compound/189089","NA","YQZKTYLJVUNTLT-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Pterins and derivatives","This compound belongs to the class of organic compounds known as pterins and derivatives. These are polycyclic aromatic compounds containing a pterin moiety, which consist of a pteridine ring bearing a ketone and an amine group to form 2-aminopteridin-4(3H)-one."
"C59",233.532428571429,"ranitidine N-oxide_1","2",4524.80760871503,330.1297,"C13H22N4O4S","DFJVUWAHTQPQCV-UHFFFAOYSA-N","InChI=1S/C13H22N4O4S/c1-14-13(8-16(18)19)15-6-7-22-10-12-5-4-11(21-12)9-17(2,3)20/h4-5,8,14-15H,6-7,9-10H2,1-3H3","https://pubchem.ncbi.nlm.nih.gov/compound/62985","NA","DFJVUWAHTQPQCV-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Heteroaromatic compounds",NA,"Heteroaromatic compounds","This compound belongs to the class of organic compounds known as heteroaromatic compounds. These are compounds containing an aromatic ring where a carbon atom is linked to an hetero atom."
"C60",232.173285714286,"Jasmolone_1","2",215.711772812762,180.113,"C11H16O2","SVRKACAGHUZSGU-SNAWJCMRNA-N",NA,NA,"NA","SVRKACAGHUZSGU-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C61",233.851,"4'-Isopropylacetophenone","2",315.935371689748,162.1038,"C11H14O","PDLCCNYKIIUWHA-UHFFFAOYSA-N","InChI=1S/C11H14O/c1-8(2)10-4-6-11(7-5-10)9(3)12/h4-8H,1-3H3","https://pubchem.ncbi.nlm.nih.gov/compound/12578","NA","PDLCCNYKIIUWHA-UHFFFAOYSA-N","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Alkyl-phenylketones","This compound belongs to the class of organic compounds known as alkyl-phenylketones. These are aromatic compounds containing a ketone substituted by one alkyl group, and a phenyl group."
"C62",244.423,"2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One_1","2",1003.78927543471,268.1315,"C10H16N6O3","XYCDSKWPYZSIDU-UHFFFAOYSA-N","InChI=1S/C10H16N6O3/c11-10-14-8-7(9(19)15-10)16(5-13-8)2-1-12-6(3-17)4-18/h5-6,12,17-18H,1-4H2,(H3,11,14,15,19)","https://pubchem.ncbi.nlm.nih.gov/compound/445732","NA","XYCDSKWPYZSIDU-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Hypoxanthines","This compound belongs to the class of organic compounds known as hypoxanthines. These are compounds containing the purine derivative 1H-purin-6(9H)-one. Purine is a bicyclic aromatic compound made up of a pyrimidine ring fused to an imidazole ring."
"C63",199.625142857143,"3-[(2-aminoethyl)sulfanyl]-6-ethyl-7-oxo-1-azabicyclo[3.2.0]heptane-2-carboxylic acid","2",1999.78298993397,258.11,"C11H18N2O3S","OJZAYZYCCIMRRC-UHFFFAOYNA-N",NA,NA,"NA","OJZAYZYCCIMRRC-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C64",204.211428571429,"1,2-diisobutoxycarbonylethanesulfonic acid_1","2",3133.55680378495,310.1043,"C12H22O7S","NNARPPSIYMCXMB-UHFFFAOYNA-N",NA,NA,"NA","NNARPPSIYMCXMB-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
