Cmpd	rt	inferred.mass	inferred.formula	C	H	N	O	P	S	C.N.P	H.C	O.C	N.C	CHO_index	NOSC	DBE	DBE.O	Annotation	Kingdon	Superclass	class	subclass	parent	pubchem.url	DIM1	DIM2
C67	189.029142857143	298.1046	C12H18N4O3S	12	18	4	3	0	1	12:4:0	1.5	0.25	0.333333333333333	-1	0.166666666666667	6	3	1-(1-azepanyl)-2-[(5-methyl-4-nitro-1H-pyrazol-3-yl)thio]ethanone_1	Organic compounds	Organosulfur compounds	Thioethers	Aryl thioethers	Aryl thioethers	https://pubchem.ncbi.nlm.nih.gov/compound/4079917	0.490909090909091	0.418181818181818
C68	179.754428571429	286.1049	C11H18N4O3S	11	18	4	3	0	1	11:4:0	1.63636363636364	0.272727272727273	0.363636363636364	-1.09090909090909	0.181818181818182	5	2	Histidinyl-Methionine_1	NA	NA	NA	NA	NA	NA	0.515151515151515	0.43030303030303
C69	183.322285714286	226.0839	C10H14N2O2S	10	14	2	2	0	1	10:2:0	1.4	0.2	0.2	-1	-0.2	5	3	(1/2,5,6)-2-(3-azibutylthio)-5,6-epoxy-3-cyclohexen-1-ol_1	NA	NA	NA	NA	NA	NA	0.575757575757576	0.454545454545455
C76	305.994142857143	398.1547	C18H26N2O6S	18	26	2	6	0	1	18:2:0	1.44444444444444	0.333333333333333	0.111111111111111	-0.777777777777778	-0.333333333333333	7	1	2-[(1S,3S,4aS,9aR)-1-(hydroxymethyl)-6-(methanesulfonamido)-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-3-yl]-N-propylacetamide_1	NA	NA	NA	NA	NA	NA	-0.175757575757576	-0.272727272727273
C81	293.397428571429	398.1557	C18H26N2O6S	18	26	2	6	0	1	18:2:0	1.44444444444444	0.333333333333333	0.111111111111111	-0.777777777777778	-0.333333333333333	7	1	2-[(1S,3S,4aS,9aR)-1-(hydroxymethyl)-6-(methanesulfonamido)-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-3-yl]-N-propylacetamide_2	NA	NA	NA	NA	NA	NA	-0.36969696969697	0.321212121212121
C82	580.566571428571	652.3834	C35H56O11	35	56	0	11	0	0	35:0:0	1.6	0.314285714285714	0	-0.971428571428571	-0.971428571428572	8	-3	C35H56O11	NA	NA	NA	NA	NA	NA	-0.865095797987187	-0.141114917402165
C86	18.6256666666667	527.8762	C8H6N2O19P2S	8	6	2	19	2	1	8:2:2	0.75	2.375	0.25	4	3.75	7	-12	C8H6N2O19P2S	NA	NA	NA	NA	NA	NA	0.6	-0.612121212121212
C95	224.465833333333	394.1258	C15H18N6O7	15	18	6	7	0	0	15:6:0	1.2	0.466666666666667	0.4	-0.266666666666667	0.933333333333333	10	3	cyclic N(6)-threonylcarbamoyladenosine_1	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	NA	Purine nucleosides	https://pubchem.ncbi.nlm.nih.gov/compound/66577129	0.648484848484848	-0.139393939393939
C101	202.9245	300.1198	C12H20N4O3S	12	20	4	3	0	1	12:4:0	1.66666666666667	0.25	0.333333333333333	-1.16666666666667	0	5	2	desmethylranitidine_2	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Amines	Aralkylamines	https://pubchem.ncbi.nlm.nih.gov/compound/163116	0.406060606060606	0.103030303030303
C102	203.836666666667	280.1305	C15H20O5	15	20	0	5	0	0	15:0:0	1.33333333333333	0.333333333333333	0	-0.666666666666667	-0.666666666666667	6	1	13-Hydroxyabscisic acid_1	NA	NA	NA	NA	NA	NA	0.721212121212121	0.151515151515151
C107	271.429333333333	340.1508	C12H24N2O9	12	24	2	9	0	0	12:2:0	2	0.75	0.166666666666667	-0.5	0	2	-7	3,3'-Neotrehalosadiamine;BMY 28251_1	NA	NA	NA	NA	NA	NA	-0.321212121212121	-0.115151515151515
C118	296.813666666667	386.1531	C18H26O9	18	26	0	9	0	0	18:0:0	1.44444444444444	0.5	0	-0.444444444444444	-0.444444444444445	6	-3	Methylsyringin_1	NA	NA	NA	NA	NA	NA	-0.406060606060606	0.163636363636364
C132	219.5362	414.1498	C16H22N4O9	16	22	4	9	0	0	16:4:0	1.375	0.5625	0.25	-0.25	0.5	8	-1	Antibiotic CA 31;Clavamycin A_2	NA	NA	NA	NA	NA	NA	0.575757575757576	-0.357575757575757
C140	238.648	354.1299	C15H22N4O4S	15	22	4	4	0	1	15:4:0	1.46666666666667	0.266666666666667	0.266666666666667	-0.933333333333333	0	7	3	2-[[3-methyl-7-(3-methylbutyl)-2,6-dioxo-8-purinyl]thio]propanoic acid methyl ester_2	NA	NA	NA	NA	NA	NA	0.478787878787879	-0.224242424242424
C142	239.599	194.094	C11H14O3	11	14	0	3	0	0	11:0:0	1.27272727272727	0.272727272727273	0	-0.727272727272727	-0.727272727272728	5	2	Butylparaben_1	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	p-Hydroxybenzoic acid alkyl esters	https://pubchem.ncbi.nlm.nih.gov/compound/7184	0.127272727272727	0.842424242424242
C143	242.1622	254.1148	C12H18N2O2S	12	18	2	2	0	1	12:2:0	1.5	0.166666666666667	0.166666666666667	-1.16666666666667	-0.5	5	3	Thiamylal_1	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Thiobarbituric acid derivatives	https://pubchem.ncbi.nlm.nih.gov/compound/5436	-0.0666666666666667	0.466666666666667
C144	203.2988	340.1153	C15H20N2O5S	15	20	2	5	0	1	15:2:0	1.33333333333333	0.333333333333333	0.133333333333333	-0.666666666666667	-0.133333333333334	7	2	4-[[(1-methylsulfonyl-4-piperidinyl)-oxomethyl]amino]benzoic acid methyl ester_1	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Acylaminobenzoic acid and derivatives	https://pubchem.ncbi.nlm.nih.gov/compound/646245	0.757575757575757	0.260606060606061
C145	194.3698	296.0888	C10H20N2O4S2	10	20	2	4	0	2	10:2:0	2	0.4	0.2	-1.2	-0.2	2	-2	D-penicillamine disulfide_1	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Valine and derivatives	https://pubchem.ncbi.nlm.nih.gov/compound/9882671	0.454545454545455	0.333333333333333
C146	190.2774	286.104	C11H18N4O3S	11	18	4	3	0	1	11:4:0	1.63636363636364	0.272727272727273	0.363636363636364	-1.09090909090909	0.181818181818182	5	2	Histidinyl-Methionine_3	NA	NA	NA	NA	NA	NA	0.539393939393939	0.381818181818182
C147	175.6416	226.0834	C10H14N2O2S	10	14	2	2	0	1	10:2:0	1.4	0.2	0.2	-1	-0.2	5	3	(1/2,5,6)-2-(3-azibutylthio)-5,6-epoxy-3-cyclohexen-1-ol_2	NA	NA	NA	NA	NA	NA	0.478787878787879	0.612121212121212
C148	181.62	326.1003	C15H18O8	15	18	0	8	0	0	15:0:0	1.2	0.533333333333333	0	-0.133333333333333	-0.133333333333334	7	-1	Bilobalide A_2	NA	NA	NA	NA	NA	NA	0.6	0.357575757575757
C151	277.2836	328.1148	C12H26O6P2	12	26	0	6	2	0	12:0:2	2.16666666666667	0.5	0	-1.16666666666667	-2	0	-6	1,4-diisobutyl-2,3,5,6-tetrahydroxy-1,4-dioxo-1,4-diphosphorinane_1	NA	NA	NA	NA	NA	NA	-0.309090909090909	0.6
C157	258.2762	226.1204	C10H18N4S	10	18	4	0	0	1	10:4:0	1.8	0	0.4	-1.8	-0.4	4	4	4-Methylburimamide_1	Organic compounds	Organoheterocyclic compounds	Azoles	Imidazoles	Imidazoles	https://pubchem.ncbi.nlm.nih.gov/compound/443411	-0.35557950110938	0.290928682725856
C158	258.5544	400.1358	C18H20N6O3S	18	20	6	3	0	1	18:6:0	1.11111111111111	0.166666666666667	0.333333333333333	-0.777777777777778	0.333333333333333	12	9	2-[[3-(4-methoxyphenyl)-7-triazolo[4,5-d]pyrimidinyl]thio]-N-(2-oxolanylmethyl)acetamide_3	NA	NA	NA	NA	NA	NA	-0.309090909090909	0.418181818181818
C163	249.9738	300.1205	C12H20N4O3S	12	20	4	3	0	1	12:4:0	1.66666666666667	0.25	0.333333333333333	-1.16666666666667	0	5	2	desmethylranitidine_4	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Amines	Aralkylamines	https://pubchem.ncbi.nlm.nih.gov/compound/163116	-0.139393939393939	0.248484848484848
C165	311.29	378.1675	C19H26N2O4S	19	26	2	4	0	1	19:2:0	1.36842105263158	0.210526315789474	0.105263157894737	-0.947368421052632	-0.526315789473684	8	4	LSM-41181	NA	NA	NA	NA	NA	NA	-0.580370430699081	0.184352960339708
C187	18.9425	261.9162	C7H3O5PS2	7	3	0	5	1	2	7:0:1	0.428571428571429	0.714285714285714	0	1	0.857142857142857	6.5	1.5	C7H3O5PS2	NA	NA	NA	NA	NA	NA	0.681032862245232	-0.32517785314412
C188	19.49675	699.7864	C8H11N6O14P3S6	8	11	6	14	3	6	8:6:3	1.375	1.75	0.75	2.125	4	6.5	-7.5	C8H11N6O14P3S6	NA	NA	NA	NA	NA	NA	0.65653798717447	-0.340427104460836
C192	209.30175	240.099	C11H16N2O2S	11	16	2	2	0	1	11:2:0	1.45454545454545	0.181818181818182	0.181818181818182	-1.09090909090909	-0.363636363636363	5	3	(2S)-2-benzyl-N,N-dimethylaziridine-1-sulfonamide_1	NA	NA	NA	NA	NA	NA	0.236363636363636	0.660606060606061
C193	209.4045	226.1194	C10H18N4S	10	18	4	0	0	1	10:4:0	1.8	0	0.4	-1.8	-0.4	4	4	4-Methylburimamide_2	Organic compounds	Organoheterocyclic compounds	Azoles	Imidazoles	Imidazoles	https://pubchem.ncbi.nlm.nih.gov/compound/443411	0.393939393939394	0.648484848484848
C197	212.46725	272.0892	C10H16N4O3S	10	16	4	3	0	1	10:4:0	1.6	0.3	0.4	-1	0.4	5	2	2-[(5-oxo-3-sulfanylidene-2H-1,2,4-triazin-6-yl)amino]propanoic acid butyl ester_2	NA	NA	NA	NA	NA	NA	0.418181818181818	0.587878787878788
C199	218.995	398.1552	C18H26N2O6S	18	26	2	6	0	1	18:2:0	1.44444444444444	0.333333333333333	0.111111111111111	-0.777777777777778	-0.333333333333333	7	1	2-[(1S,3S,4aS,9aR)-1-(hydroxymethyl)-6-(methanesulfonamido)-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-3-yl]-N-propylacetamide_3	NA	NA	NA	NA	NA	NA	0.684848484848485	-0.321212121212121
C201	227.00225	310.1407	C11H22N2O8	11	22	2	8	0	0	11:2:0	2	0.727272727272727	0.181818181818182	-0.545454545454545	0	2	-6	mannopine_2	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	L-alpha-amino acids	https://pubchem.ncbi.nlm.nih.gov/compound/121864	0.648484848484848	0.248484848484848
C223	243.03975	468.1597	C22H24N6O4S	22	24	6	4	0	1	22:6:0	1.09090909090909	0.181818181818182	0.272727272727273	-0.727272727272727	0.181818181818182	14	10	2-amino-N-(3-ethoxypropyl)-1-(4-sulfamoylphenyl)-3-pyrrolo[3,2-b]quinoxalinecarboxamide	Organic compounds	Organoheterocyclic compounds	Pyrroles	Substituted pyrroles	Phenylpyrroles	https://pubchem.ncbi.nlm.nih.gov/compound/1977834	0.73011631177642	-0.312906990761323
C224	243.585	392.1452	C19H24N2O5S	19	24	2	5	0	1	19:2:0	1.26315789473684	0.263157894736842	0.105263157894737	-0.736842105263158	-0.315789473684211	9	4	1-(3,4-dimethoxyphenyl)sulfonyl-4-(2-methoxyphenyl)piperazine_1	Organic compounds	Organoheterocyclic compounds	Diazinanes	Piperazines	Phenylpiperazines	https://pubchem.ncbi.nlm.nih.gov/compound/1201987	0.406060606060606	-0.212121212121212
C226	204.18425	270.1096	C12H18N2O3S	12	18	2	3	0	1	12:2:0	1.5	0.25	0.166666666666667	-1	-0.333333333333333	5	2	Tolbutamide_3	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	Benzenesulfonamides	https://pubchem.ncbi.nlm.nih.gov/compound/5505	0.539393939393939	0.490909090909091
C236	275.56025	252.1346	C10H16N6O2	10	16	6	2	0	0	10:6:0	1.6	0.2	0.6	-1.2	0.6	6	4	[4-methoxy-6-(1-piperidinyl)-1H-1,3,5-triazin-2-ylidene]-nitrosomethanamine_3	Organic compounds	Organoheterocyclic compounds	Triazines	Aminotriazines	Aminotriazines	https://pubchem.ncbi.nlm.nih.gov/compound/6740108	0.187878787878788	-0.236363636363636
C250	340.033	378.1651	C17H22N4O6	17	22	4	6	0	0	17:4:0	1.29411764705882	0.352941176470588	0.235294117647059	-0.588235294117647	0.117647058823529	9	3	1,5-dihydroriboflavin	NA	NA	NA	NA	NA	NA	0.0273115496799568	0.512091556499189
C252	309.5135	410.1578	C19H26N2O6S	19	26	2	6	0	1	19:2:0	1.36842105263158	0.315789473684211	0.105263157894737	-0.736842105263158	-0.315789473684211	8	2	2-[(1R,3S,4aR,9aS)-1-(hydroxymethyl)-6-(methanesulfonamido)-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-3-yl]-N-(cyclopropylmethyl)acetamide_1	NA	NA	NA	NA	NA	NA	-0.509240788886074	0.582865963182856
C253	313.49925	302.1167	C12H18N2O7	12	18	2	7	0	0	12:2:0	1.5	0.583333333333333	0.166666666666667	-0.333333333333333	0.166666666666667	5	-2	3''-deamino-3''-oxonicotianamine	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Gamma amino acids and derivatives	https://pubchem.ncbi.nlm.nih.gov/compound/11954188	0.442424242424242	0.539393939393939
C258	306.09625	380.1102	C16H20N4O5S	16	20	4	5	0	1	16:4:0	1.25	0.3125	0.25	-0.625	0.25	9	4	N-[4-[(2,6-dimethoxy-4-pyrimidinyl)sulfamoyl]phenyl]butanamide	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	Benzenesulfonamides	https://pubchem.ncbi.nlm.nih.gov/compound/1010926	0.0909090909090909	0.745454545454545
C264	391.8735	252.1025	C13H16O5	13	16	0	5	0	0	13:0:0	1.23076923076923	0.384615384615385	0	-0.461538461538462	-0.461538461538462	6	1	Methyl 3,4,5-trimethoxycinnamate	Organic compounds	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Coumaric acids and derivatives	https://pubchem.ncbi.nlm.nih.gov/compound/735846	-0.536601792583246	-0.0193952455150571
C265	364.24475	596.137	C20H25N10O10P	20	25	10	10	1	0	20:10:1	1.25	0.5	0.5	-0.25	1	13.5	3.5	A2'p5'A	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Purine ribonucleoside monophosphates	https://pubchem.ncbi.nlm.nih.gov/compound/102238	-0.20246922931615	0.595136825565653
C293	46.3386666666667	198.8146	0	0	0	0	0	0	0	0:0:0	NA	NA	NA	NA	NA	1	1	M = 198.8146	NA	NA	NA	NA	NA	NA	-0.00607905543680065	0.899700204646495
C303	216.606	286.1052	C11H18N4O3S	11	18	4	3	0	1	11:4:0	1.63636363636364	0.272727272727273	0.363636363636364	-1.09090909090909	0.181818181818182	5	2	Methionyl-Histidine_2	NA	NA	NA	NA	NA	NA	0.0972648869888103	0.632221765427267
C308	220.698	412.136	C15H20N6O8	15	20	6	8	0	0	15:6:0	1.33333333333333	0.533333333333333	0.4	-0.266666666666667	0.933333333333333	9	1	N-[(9-beta-D-ribofuranosylpurin-6-yl)carbamoyl]threonine_2	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	NA	Purine nucleosides	https://pubchem.ncbi.nlm.nih.gov/compound/161466	0.76969696969697	0.224242424242424
C310	217.818333333333	222.0889	C10H14N4S	10	14	4	0	0	1	10:4:0	1.4	0	0.4	-1.4	0	6	6	6-(Pentylthio)-1H-purine_2	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	6-thiopurines	https://pubchem.ncbi.nlm.nih.gov/compound/79515	0.442424242424242	0.478787878787879
C317	222.418	286.105	C11H18N4O3S	11	18	4	3	0	1	11:4:0	1.63636363636364	0.272727272727273	0.363636363636364	-1.09090909090909	0.181818181818182	5	2	Histidinyl-Methionine_5	NA	NA	NA	NA	NA	NA	0.112449847489998	0.683349073208448
C318	221.659	264.1	C11H20O5S	11	20	0	5	0	1	11:0:0	1.81818181818182	0.454545454545455	0	-0.909090909090909	-0.727272727272728	2	-3	2-(6'-Methylthio)hexylmalic acid_1	NA	NA	NA	NA	NA	NA	0.43030303030303	0.696969696969697
C322	224.199	276.1002	C10H16N2O7	10	16	2	7	0	0	10:2:0	1.6	0.7	0.2	-0.2	0.4	4	-3	gamma-Glutamylglutamic acid_1	NA	NA	NA	NA	NA	NA	0.333333333333333	0.43030303030303
C325	234.073	384.1406	C13H24N2O11	13	24	2	11	0	0	13:2:0	1.84615384615385	0.846153846153846	0.153846153846154	-0.153846153846154	0.307692307692307	3	-8	Macrozamin_2	NA	NA	NA	NA	NA	NA	0.587878787878788	-0.393939393939394
C339	241.667333333333	220.1093	C10H20O3S	10	20	0	3	0	1	10:0:0	2	0.3	0	-1.4	-1.2	1	-2	9-(methylsulfinyl)nonanoic acid_3	NA	NA	NA	NA	NA	NA	0.071115900221876	0.601252610966769
C347	196.587	296.1246	C11H16N6O4	11	16	6	4	0	0	11:6:0	1.45454545454545	0.363636363636364	0.545454545454545	-0.727272727272727	0.909090909090909	7	3	2-Methylaminoadenosine_3	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	NA	Purine nucleosides	https://pubchem.ncbi.nlm.nih.gov/compound/439946	0.503030303030303	0.648484848484848
C348	177.736333333333	284.0898	C12H16N2O4S	12	16	2	4	0	1	12:2:0	1.33333333333333	0.333333333333333	0.166666666666667	-0.666666666666667	0	6	2	Tyrosyl-Cysteine_1	NA	NA	NA	NA	NA	NA	0.466666666666667	0.454545454545455
C359	271.679333333333	358.1246	C16H22O9	16	22	0	9	0	0	16:0:0	1.375	0.5625	0	-0.25	-0.25	6	-3	10-Deoxygeniposidic acid_2	NA	NA	NA	NA	NA	NA	-0.551515151515151	0.672727272727273
C364	263.996666666667	412.136	C15H20N6O8	15	20	6	8	0	0	15:6:0	1.33333333333333	0.533333333333333	0.4	-0.266666666666667	0.933333333333333	9	1	N-[(9-beta-D-ribofuranosylpurin-6-yl)carbamoyl]threonine_3	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	NA	Purine nucleosides	https://pubchem.ncbi.nlm.nih.gov/compound/161466	-0.563636363636364	0.6
C387	253.876666666667	220.1451	C14H20O2	14	20	0	2	0	0	14:0:0	1.42857142857143	0.142857142857143	0	-1.14285714285714	-1.14285714285714	5	3	Glutinosone	NA	NA	NA	NA	NA	NA	0.522232967867094	0.522232967867094
C388	252.812666666667	330.13	C13H22N4O4S	13	22	4	4	0	1	13:4:0	1.69230769230769	0.307692307692308	0.307692307692308	-1.07692307692308	0	5	1	ranitidine N-oxide_2	Organic compounds	Organoheterocyclic compounds	Heteroaromatic compounds	NA	Heteroaromatic compounds	https://pubchem.ncbi.nlm.nih.gov/compound/62985	-0.6	0.151515151515151
