cmpd,rt,annotation,ann.confidence,median.signal,inferred.M,inferred.formula,inchikey,inchi,hmdb.url,lm.url,pubchem.url,chebi.url,synonyms,inchikey.1,kingdom,superclass,class,subclass,parent,description
C11,311.8382632,"3-hydroxy-3-methyl-5-oxo-5-[[3,4,5-trihydroxy-6-[[6-methoxy-2-oxo-3-[(2-oxo-1-benzopyran-7-yl)oxy]-1-benzopyran-7-yl]oxy]-2-oxanyl]methoxy]pentanoic acid__1",2,1773.95693,658.1511,C31H30O16,ZTLZGWDERZVHNS-UHFFFAOYNA-N,NA,NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:114502,ChEBI=CHEBI:114502 __ NANPDB=NANPDB_3997 __ UNPD=UNPD8073;UNPD210299,ZTLZGWDERZVHNS-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C12,1000.333026,methylene bis(thiocyanate)__2,2,34654.08615,129.9579,C3H2N2S2,JWZXKXIUSSIAMR-UHFFFAOYSA-N,InChI=1S/C3H2N2S2/c4-1-6-3-7-2-5/h3H2,NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:134614,methylene bis(thiocyanate)__2 __ thiocyanatomethyl thiocyanate __ thiocyanic acid thiocyanatomethyl ester,JWZXKXIUSSIAMR-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Thioacetals,Dithioacetals,Dithioacetals,This compound belongs to the class of organic compounds known as dithioacetals. These are compounds containing a dithioacetal functional group with the general structure R2C(SR')2.
C13,22.94471429,C25H38N7O13P,3,768.4871971,675.2306,C25H38N7O13P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C14,23.06194286,UDP-3-keto-alpha-D-glucose,2,827.1549537,564.041,C15H22N2O17P2,VRDZHCNPFRUVRQ-SZNRHJFNSA-N,"InChI=1S/C15H22N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-9,11-14,18,20-21,23-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8-,9-,11-,12-,13-,14-/m1/s1",NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32274,"UDP-3-ketoglucose __ UDP-3-keto-D-glucose __ UDP-3-keto-alpha-D-glucose __ [(2R,3S,5R,6R)-3,5-dihydroxy-6-(hydroxymethyl)-4-oxo-2-oxanyl] [[(2R,3S,4R,5R)-5-(2,4-dioxo-1-pyrimidinyl)-3,4-dihydroxy-2-oxolanyl]methoxy-hydroxyphosphoryl] hydrogen phosphate __ [(2R,3S,5R,6R)-3,5-dihydroxy-6-(hydroxymethyl)-4-oxooxan-2-yl] [[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate __ [(2R,3S,5R,6R)-3,5-dihydroxy-4-keto-6-methylol-tetrahydropyran-2-yl] [[(2R,3S,4R,5R)-5-(2,4-diketopyrimidin-1-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl] hydrogen phosphate __ [(2R,3S,5R,6R)-3,5-dihydroxy-6-(hydroxymethyl)-4-oxo-tetrahydropyran-2-yl] [[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl] hydrogen phosphate __ [[(2R,3S,4R,5R)-5-[2,4-bis(oxidanylidene)pyrimidin-1-yl]-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2R,3S,5R,6R)-6-(hydroxymethyl)-3,5-bis(oxidanyl)-4-oxidanylidene-oxan-2-yl] hydrogen phosphate",VRDZHCNPFRUVRQ-SZNRHJFNSA-N,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars,Pyrimidine nucleotide sugars,This compound belongs to the class of organic compounds known as pyrimidine nucleotide sugars. These are pyrimidine nucleotides bound to a saccharide derivative through the terminal phosphate group.
C15,280.3379118,5'-Methoxybilobetin,2,2014.631928,582.118,C32H22O11,RQNXAFVREOYDNA-UHFFFAOYSA-N,"InChI=1S/C32H22O11/c1-40-27-8-15(25-12-22(38)29-19(35)9-17(34)10-26(29)42-25)7-18(31(27)41-2)28-20(36)11-21(37)30-23(39)13-24(43-32(28)30)14-3-5-16(33)6-4-14/h3-13,33-37H,1-2H3",http://www.hmdb.ca/metabolites/HMDB0038101,NA,NA,NA,"5'-Methoxybilobetin __ 8-[5-(5,7-dihydroxy-4-keto-chromen-2-yl)-2,3-dimethoxy-phenyl]-5,7-dihydroxy-2-(4-hydroxyphenyl)chromone __ 8-[5-(5,7-dihydroxy-4-oxochromen-2-yl)-2,3-dimethoxyphenyl]-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one __ 8-[5-(5,7-dihydroxy-4-oxo-chromen-2-yl)-2,3-dimethoxy-phenyl]-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one __ 8-[5-(5,7-dihydroxy-4-oxo-1-benzopyran-2-yl)-2,3-dimethoxyphenyl]-5,7-dihydroxy-2-(4-hydroxyphenyl)-1-benzopyran-4-one __ 8-[5-[5,7-bis(oxidanyl)-4-oxidanylidene-chromen-2-yl]-2,3-dimethoxy-phenyl]-2-(4-hydroxyphenyl)-5,7-bis(oxidanyl)chromen-4-one",RQNXAFVREOYDNA-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Biflavonoids and polyflavonoids,Biflavonoids and polyflavonoids,"This compound belongs to the class of organic compounds known as biflavonoids and polyflavonoids. These are organic compounds containing at least two flavan/flavone units. These units are usually linked through CC or C-O-C bonds. Some examples include C2-O-C3, C2-O-C4, C3'-C3''', and C6-C8''."
C16,278.9697667,Glucosinalbin 4-(4-acetylrhamnoside),2,1086.824164,613.115,C22H31NO15S2,GYVDCHYBTDOMRS-OEAKJJBVNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0036939,NA,NA,NA,HMDB=HMDB0036939 __ KNApSAcK=C00007789 __ FooDB=FDB015908,GYVDCHYBTDOMRS-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C17,236.8737333,C13H35N15O16P2S,3,2094.705022,751.1583,C13H35N15O16P2S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18,231.3746333,C24H36NO14P3S,3,2399.362397,687.1082,C24H36NO14P3S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C19,256.8771,"1-(2-Hydroxyphenylamino)-1-deoxy-beta-D-gentiobioside 1,2-carbamate",2,2556.649052,459.1439,C19H25NO12,UQUJYJFBLXCVJV-UHFFFAOYNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0037551,NA,NA,NA,HMDB=HMDB0037551 __ FooDB=FDB016633 __ UNPD=UNPD62753,UQUJYJFBLXCVJV-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C20,23.43006897,"6-{[4,5-dihydroxy-2-(hydroxymethyl)-6-{[2-(2-hydroxypropan-2-yl)-7-oxo-2H,3H,7H-furo[3,2-g]chromen-9-yl]oxy}oxan-3-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid",2,1220.059258,600.1695,C26H32O16,MZSUFBYLKHPSPP-UHFFFAOYNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0132929,NA,NA,NA,HMDB=HMDB0132929,MZSUFBYLKHPSPP-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C21,201.0903448,"Quercetin 3,4'-diglucoside",2,2344.834562,626.1533,C27H30O17,RPVIQWDFJPYNJM-UHFFFAOYNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0037363,https://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMPK12112104,https://pubchem.ncbi.nlm.nih.gov/compound/5320835#section=Top,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:131498,HMDB=HMDB0037363 __ KNApSAcK=C00005436 __ ChEBI=CHEBI:131498 __ FooDB=FDB016392 __ LipidMAPS=LMPK12112104 __ Serum=HMDB0037363 __ PubChem=5320835 __ PlantCyc=CPD-14753 __ UNPD=UNPD197040;UNPD19748;UNPD97074,RPVIQWDFJPYNJM-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C22,22.96503571,Quanolirone I,2,423.4402897,694.2696,C37H42O13,WIJGEWVJMHOFER-RBDRBLOGNA-N,NA,NA,NA,NA,NA,KNApSAcK=C00050210 __ UNPD=UNPD187753,WIJGEWVJMHOFER-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C23,352.2935357,"4-[4-[(5,6-dimethyl-1-benzimidazolyl)sulfonyl]phenyl]sulfonylmorpholine",2,1820.781618,435.1019,C19H21N3O5S2,XCJFOMBEECLTFB-UHFFFAOYSA-N,"InChI=1S/C19H21N3O5S2/c1-14-11-18-19(12-15(14)2)22(13-20-18)29(25,26)17-5-3-16(4-6-17)28(23,24)21-7-9-27-10-8-21/h3-6,11-13H,7-10H2,1-2H3",NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:116777,"4-[4-(5,6-dimethylbenzimidazol-1-yl)sulfonylphenyl]sulfonylmorpholine __ 4-[4-[(5,6-dimethyl-1-benzimidazolyl)sulfonyl]phenyl]sulfonylmorpholine",XCJFOMBEECLTFB-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,Benzenesulfonamides,This compound belongs to the class of organic compounds known as benzenesulfonamides. These are organic compounds containing a sulfonamide group that is S-linked to a benzene ring.
C24,233.8069286,Siastatin B,2,2873.061959,218.0956,C8H14N2O5,DQTKLICLJUKNCG-XZLSUNLFNA-N,NA,NA,NA,NA,NA,KNApSAcK=C00018021 __ UNPD=UNPD101944;UNPD177930;UNPD20391;UNPD816,DQTKLICLJUKNCG-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C25,258.4443571,C35H54N7O24P3S,3,2310.552786,1081.219,C35H54N7O24P3S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C26,23.26314815,Caftaric acid,2,1136.614315,312.054,C13H12O9,SWGKAHCIOQPKFW-JTNORFRNSA-N,"InChI=1S/C13H12O9/c14-7-3-1-6(5-8(7)15)2-4-9(16)22-11(13(20)21)10(17)12(18)19/h1-5,10-11,14-15,17H,(H,18,19)(H,20,21)/b4-2+/t10-,11-/m1/s1",http://www.hmdb.ca/metabolites/HMDB0013680,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76075,"Caftaric acid __ Caftaric Acid __ (2R,3R)-2-[(E)-3-(3,4-dihydroxyphenyl)acryloyl]oxy-3-hydroxy-succinic acid __ (2R,3R)-2-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-3-hydroxybutanedioic acid __ (2R,3R)-2-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-3-hydroxy-butanedioic acid __ (2R,3R)-2-[(E)-3-(3,4-dihydroxyphenyl)-1-oxoprop-2-enoxy]-3-hydroxybutanedioic acid __ (2R,3R)-2-[(E)-3-[3,4-bis(oxidanyl)phenyl]prop-2-enoyl]oxy-3-oxidanyl-butanedioic acid",SWGKAHCIOQPKFW-JTNORFRNSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,"This compound belongs to the class of organic compounds known as coumaric acids and derivatives. These are aromatic compounds containing Aromatic compounds containing a cinnamic acid moiety (or a derivative thereof) hydroxylated at the C2 (ortho-), C3 (meta-), or C4 (para-) carbon atom of the benzene ring."
C27,274.6524815,(-)-Epigallocatechin sulfate,2,2678.097223,386.0352,C15H14O10S,PFNBTZIECYHRTC-WFASDCNBSA-M,"InChI=1S/C15H14O10S/c16-8-1-6-4-12(25-26(21,22)23)15(24-14(6)11(19)5-8)7-2-9(17)13(20)10(18)3-7/h1-3,5,12,15-20H,4H2,(H,21,22,23)/p-1/t12-,15-/m0/s1",http://www.hmdb.ca/metabolites/HMDB0012468,NA,NA,NA,"EACSul __ (-)-epigallocatechin sulfate __ (-)-Epigallocatechin sulfate__1 __ [(2S,3S)-6,8-dihydroxy-2-(3,4,5-trihydroxyphenyl)chroman-3-yl] sulfate __ [(2S,3S)-6,8-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl] sulfate __ [(2S,3S)-6,8-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3-yl] sulfate __ [(2S,3S)-6,8-bis(oxidanyl)-2-[3,4,5-tris(oxidanyl)phenyl]-3,4-dihydro-2H-chromen-3-yl] sulfate",PFNBTZIECYHRTC-WFASDCNBSA-M,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Sulfated flavonoids,3-sulfated flavonoids,This compound belongs to the class of organic compounds known as 3-sulfated flavonoids. These are flavonoids that are sulfated at the 3-ring position of the flavonoid skeleton.
C28,268.7708889,C39H39NO20,3,1448.236244,841.2078,C39H39NO20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C29,303.5277407,UNPD122788,2,1671.458576,598.1459,C33H26O11,WRCORLXOLDLDOJ-YGFIFORBNA-N,NA,NA,NA,NA,NA,UNPD=UNPD122788;UNPD80445,WRCORLXOLDLDOJ-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C30,316.171963,"Patuletin 3-(4''-acetylrhamnoside)-7-(2''',4'''-diacetylrhamnoside)",2,1596.586573,750.207,C34H38O19,MGKIOPQAOQPPKQ-ZFGKWLAGNA-N,NA,NA,https://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMPK12112953,NA,NA,KNApSAcK=C00006030 __ LipidMAPS=LMPK12112953 __ UNPD=UNPD99830,MGKIOPQAOQPPKQ-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C31,221.937,1-O-p-Coumaroyl-beta-D-glucose,2,3405.939399,326.1033,C15H18O8,DSNCQKUYZOSARM-ZZXKWVIFNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0036936,NA,https://pubchem.ncbi.nlm.nih.gov/compound/14158117#section=Top,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71498,HMDB=HMDB0036936 __ KNApSAcK=C00032376 __ ChEBI=CHEBI:71498 __ FooDB=FDB001845;FDB015905 __ PubChem=14158117 __ PlantCyc=CPD-8674 __ UNPD=UNPD121336;UNPD13463;UNPD173518;UNPD177482;UNPD215979;UNPD224715,DSNCQKUYZOSARM-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C32,225.0763704,C19H22O8S2,3,3717.050612,442.0681,C19H22O8S2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
